sortie_id,launch_node,customer_node,recovery_node,total_distance_m,total_time_min,energy_kwh,co2_kg,risk,cost,feasible
SORTIE_000001,0,1,0,3522.754188290375,8.156980576901649,0.18636983902465615,0.06522944365862965,5.5227541882903754e-05,0.5284131282435562,True
SORTIE_000002,0,1,51,4274.28962201797,9.159027821871774,0.2178435016218785,0.07624522556765746,6.274289622017971e-05,0.6411434433026955,True
SORTIE_000003,0,1,52,3990.8897992431157,8.781161391505302,0.2059749589000972,0.07209123561503401,5.990889799243116e-05,0.5986334698864674,True
SORTIE_000004,0,1,53,2136.9250269967692,6.309208361843507,0.12833249642910233,0.04491637375018581,4.136925026996769e-05,0.32053875404951543,True
SORTIE_000005,0,1,54,2940.460624149304,7.380589158046886,0.16198388149314075,0.056694358522599256,4.9404606241493045e-05,0.44106909362239555,True
SORTIE_000006,0,1,55,2695.305279390446,7.0537153650350755,0.1517169848724782,0.053100944705367366,4.695305279390446e-05,0.40429579190856685,True
SORTIE_000007,0,1,56,4263.001066981363,9.143976415156299,0.2173707465707026,0.0760797612997459,6.263001066981363e-05,0.6394501600472043,True
SORTIE_000008,0,2,0,4308.344286878417,9.164927252342084,0.22378895960068224,0.07832613586023877,6.308344286878417e-05,0.6462516430317625,True
SORTIE_000009,0,2,51,5878.470597269388,11.258428999530045,0.29124909923967196,0.10193718473388517,7.878470597269389e-05,0.8817705895904081,True
SORTIE_000010,0,2,52,6367.425031371412,11.910368244999411,0.31225692146603307,0.10928992251311156,8.367425031371412e-05,0.9551137547057118,True
SORTIE_000011,0,2,53,5702.541906924203,11.023857412403133,0.2836903608511435,0.09929162629790023,7.702541906924205e-05,0.8553812860386305,True
SORTIE_000012,0,2,54,4313.394535184936,9.171660916750776,0.22400594243430183,0.07840207985200563,6.313394535184937e-05,0.6470091802777403,True
SORTIE_000013,0,2,55,5153.575029098627,10.291901575302363,0.26010411687178364,0.09103644090512426,7.153575029098628e-05,0.773036254364794,True
SORTIE_000014,0,2,56,3258.0194393072084,7.7644941222471395,0.17866197815050128,0.06253169235267544,5.258019439307209e-05,0.4887029158960812,True
SORTIE_000015,0,3,0,3830.5386008079736,8.424119181992438,0.18658915749513375,0.06530620512329681,5.830538600807973e-05,0.574580790121196,True
SORTIE_000016,0,3,51,4657.414775655615,9.52662074845596,0.21860661578913262,0.07651231552619642,6.657414775655615e-05,0.6986122163483421,True
SORTIE_000017,0,3,52,4373.516945599959,9.148090308381754,0.2076138127430918,0.07266483446008212,6.373516945599959e-05,0.6560275418399939,True
SORTIE_000018,0,3,53,2131.413788031127,6.158619431623309,0.12079737453633059,0.042279081087715706,4.1314137880311265e-05,0.319712068204669,True
SORTIE_000019,0,3,54,3097.1520572481277,7.446270457245976,0.15819170962316673,0.05536709836810835,5.097152057248128e-05,0.4645728085872191,True
SORTIE_000020,0,3,55,2659.9605882606647,6.863348498596027,0.14126322619289083,0.04944212916751179,4.659960588260665e-05,0.3989940882390997,True
SORTIE_000021,0,3,56,4497.180654490401,9.312975253569007,0.21240219311045513,0.07434076758865929,6.497180654490401e-05,0.67457709817356,True
SORTIE_000022,0,4,0,2006.5080999110774,5.096091400210602,0.11932561397625617,0.04176396489168966,4.006508099911077e-05,0.3009762149866616,True
SORTIE_000023,0,4,51,3004.9927205825456,6.42740422777256,0.16144573261814932,0.056506006416352256,5.004992720582546e-05,0.4507489080873818,True
SORTIE_000024,0,4,52,3653.922361829529,7.2926437494352045,0.1888202088130686,0.06608707308457401,5.65392236182953e-05,0.5480883542744294,True
SORTIE_000025,0,4,53,4117.086114655621,7.910195419869993,0.20835832869571658,0.0729254150435008,6.11708611465562e-05,0.6175629171983431,True
SORTIE_000026,0,4,54,3040.9716295007293,6.475376106330137,0.16296346847593413,0.05703721396657694,5.0409716295007295e-05,0.45614574442510936,True
SORTIE_000027,0,4,55,4006.3223245282306,7.762510366366806,0.20368586415815165,0.07129005245535307,6.006322324528231e-05,0.6009483486792346,True
SORTIE_000028,0,4,56,1906.5677569626764,4.962837609612734,0.11510972620497803,0.04028840417174231,3.906567756962676e-05,0.28598516354440146,True
SORTIE_000029,0,5,0,2162.637518954575,5.727218043456459,0.1167384808960093,0.04085846831360325,4.162637518954576e-05,0.32439562784318626,True
SORTIE_000030,0,5,51,3502.6466981712097,7.513896949078637,0.16653326244782707,0.05828664185673947,5.50264669817121e-05,0.5253970047256814,True
SORTIE_000031,0,5,52,4079.868702053639,8.283526287588543,0.18798284953724603,0.0657939973380361,6.07986870205364e-05,0.6119803053080458,True
SORTIE_000032,0,5,53,4135.372966180464,8.357531973090977,0.1900453896677587,0.06651588638371554,6.135372966180464e-05,0.6203059449270696,True
SORTIE_000033,0,5,54,2906.3728267349743,6.718865120496991,0.14437570738497185,0.05053149758474015,4.906372826734975e-05,0.43595592401024613,True
SORTIE_000034,0,5,55,3891.973207352584,8.03299896132047,0.18100064728197535,0.06335022654869137,5.8919732073525846e-05,0.5837959811028876,True
