policy_id,drone_customers,n_selected_sorties,truck_distance_km,duration_min,co2_kg,total_risk,cost_usd,resilience_penalty,coordination_delay,airspace_penalty,overuse_penalty,selected_sortie_ids
MVP2_1_NSGA2_0003,11,11,46.3273284,370.2564791926361,15.829912131716688,0.6902790627200001,1187.5375742077392,1231.104235649252,18.029486839694933,3.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0095|SRT_0120|SRT_0122|SRT_0128|SRT_0143
MVP2_1_NSGA2_0047,12,12,45.0622128,371.92907495660535,15.487803347885672,0.8410229702400001,1190.6625026103886,1309.9630318763147,20.101064956605352,12.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0095|SRT_0116|SRT_0120|SRT_0122|SRT_0128|SRT_0143
MVP2_1_NSGA2_0037,12,12,45.0622128,371.930854123272,15.477503347885673,0.82733177024,1190.6580026103886,1306.3756514981953,20.101064956605352,12.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0095|SRT_0120|SRT_0122|SRT_0128|SRT_0131|SRT_0143
MVP2_1_NSGA2_0023,12,12,45.0622128,371.95446162327204,15.477103347885672,0.85794777024,1190.6821026103885,1314.442305217318,20.101064956605352,12.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0075|SRT_0095|SRT_0120|SRT_0122|SRT_0128|SRT_0143
MVP2_1_NSGA2_0041,10,10,47.592444,374.62560594168724,16.187120915547702,0.5601699552000001,1196.4259458050897,1193.9442189146644,16.004514690350305,0.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0055|SRT_0063|SRT_0095|SRT_0120|SRT_0122|SRT_0128|SRT_0143
MVP2_1_NSGA2_0026,10,10,47.592444,374.65887694168725,16.1841209155477,0.5675619552000001,1196.4527458050895,1195.938406644109,16.004514690350305,0.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0095|SRT_0120|SRT_0122|SRT_0143
MVP2_1_NSGA2_0018,13,13,43.797097199999996,379.63956107078036,15.135394564054659,0.9841848777600001,1205.7829310130383,1468.113760351571,22.21629838875652,27.0,45.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0095|SRT_0116|SRT_0120|SRT_0122|SRT_0128|SRT_0131|SRT_0143
MVP2_1_NSGA2_0016,13,13,43.797097199999996,379.66135260924193,15.13499456405466,1.01586887776,1205.807031013038,1476.4576809091673,22.21629838875652,27.0,45.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0075|SRT_0095|SRT_0116|SRT_0120|SRT_0122|SRT_0128|SRT_0143
MVP2_1_NSGA2_0049,13,13,43.797097199999996,379.6629949169342,15.124694564054659,1.00170007776,1205.802531013038,1472.7449102899889,22.21629838875652,27.0,45.0,SRT_0024|SRT_0027|SRT_0032|SRT_0042|SRT_0055|SRT_0063|SRT_0075|SRT_0095|SRT_0120|SRT_0122|SRT_0128|SRT_0131|SRT_0143
MVP2_1_NSGA2_0043,9,9,48.857559599999995,382.05999819609104,16.550529699378718,0.47102524768000004,1211.33911740244,1185.73735612119,14.029611541307906,0.0,0.0,SRT_0024|SRT_0027|SRT_0032|SRT_0055|SRT_0063|SRT_0095|SRT_0122|SRT_0128|SRT_0143
